name,price
Shop on eBay,20.00
ASUS TUF Gaming GeForce RTX 3070 Ti OC Graphics Card BRAND NEW - FAST SHIPPING,799.99
MSI Gaming AMD Radeon RX 6600 128-bit 8GB GDDR6 Graphics Card RX6600MECH2X8G,389.00
ASUS Dual GeForce GTX 1650 4GB GDDR6 PCI Express 3.0 Video Graphics Card DUAL...,219.99
MSI NVIDIA GeForce GTX 1060 6GB GDDR5 PCI Express Graphics Card,204.99
Non-LHR MSI GeForce RTX 3070 GAMING X TRIO 8GB GDDR6 Graphics Card,455.00
Sapphire AMD Radeon RX 580 4GB Nitro Graphics Card,199.00
ASRock Radeon RX 6600 8GB PCI Express 4.0 Video Graphics Card RX6600 CLD 8G,369.99
EVGA GeForce RTX 3050 8GB GDDR6 XC GAMING Graphics Card - 8GB GDDR6 Memory 128-b,379.99
EVGA GeForce RTX 3080 Non LHR XC3 Ultra Gaming 10GB GDDR6X Graphics Card...,"1,000.00"
ASUS TUF Gaming GeForce RTX 3080 Ti OC 12GB GDDR6X Graphics Card - New & Sealed,"1,025.00"
"EVGA GeForce GTX 1660 Ti XC 6GB GDDR6 OVERCLOCKED, 2.75 Slot Graphics Card",319.99
EVGA NVIDIA GeForce RTX 2080 Ti 11GB GDDR6 Graphics Card (11G-P4-2382-KR),775.00
SAPPHIRE Nitro+ Radeon RX 580 8GB GDDR5 Graphics Card (11265-01-20G),297.00
NEW EVGA GeForce RTX 2060 XC 12GB GDDR6 Graphics Card 12G-P4-2263-KR NEW MODEL,488.99
EVGA GeForce GTX 1070 8GB GDDR5 Gaming Graphics Card (08G-P4-6171-KR),295.00
LENOVO AMD Radeon HD 8570 1GB GDDR3 VGA HDMI Port Video Graphics Card FRU03T7148,15.99
NEW GIGABYTE GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Video Card ,330.00
SAPPHIRE Pulse Radeon RX 570 4GB GDDR5 Graphics Card (11266-04-20G),159.95
MSI Radeon RX 5600 XT GAMING MX 6GB GDDR6 Graphics Card ,340.00
MSI GeForce GTX 1660 Super Ventus XS OC 6GB GDDR6 Graphics Card BRAND NEW!,171.50
Nvidia PNY GTX 1060 3GB PC Graphics Card GDDR5 Used ,179.99
SAPPHIRE NITRO+ AMD Radeon RX 6600 XT GDDR6 8GB Graphics Card,330.00
ASUS NVIDIA GTX TITAN BLACK-6GD5 Graphics Card 6GB,200.00
EVGA GeForce RTX 3060 Ti XC GAMING 8GB GDDR6 Graphics Card - LHR,265.00
MSI GeForce GTX 970 4GB GDDR5 Graphics Card (GTX 970 GAMING 4G),150.00
MSI NVIDIA GeForce GTX 1050 2GT LP - 2GB GDDR5 Low Profile Graphics Card (READ!),49.99
GIGABYTE NVIDIA GeForce RTX 3070 AORUS MASTER 8GB LHR GDDR6 Graphics Card New,650.00
"MSI GeForce GTX 1660 SUPER VENTUS XS OC Graphics Card, PCI-E x16",359.99
