name,price
Shop on eBay,20.00
Dell Core i5 Desktop Computer 16GB RAM 2TB 512GB SSD 22in LCD Windows 10 Pro PC,115.76
"Dell OR HP Desktop PC Computer Dual C 500GB 4GB DUAL 19"" LCD WiFi Windows 10 Pro",179.99
,99.00
,111.60
,399.00
"Dell Gaming Desktop Computer PC Tower Core i5 16GB 2TB HD/SSD 22"" LCD Windows 10",247.70
Fast HP Desktop Computer 3.0GHz 8GB RAM 500GB HD PC Windows 10 WiFi DVD,129.99
,183.60
"HP All In One 23"" Widescreen PC 8GB 2TB Core I5 Desktop Computer Webcam Win 10",286.00
,188.10
,188.10
"HP All in One 23"" Widescreen Computer Core I3 8GB 500GB Windows 10 WiFi Webcam",208.00
Periphio Portal Gaming PC Desktop Computer Custom Tower Intel i5 16GB RAM Nvidia,524.99
"Dell Desktop Computer Core i5 8GB RAM 1TB HD Windows 10 Professional PC 19"" LCD",195.00
Dell Windows 10 Pro Desktop Computer PC Quad Core i5 DVD WiFi 16GB RAM 1 TB HD,195.00
Dell Computer PC Desktop 8GB Ram 500GB HD Intel Quad Core i5 3.10GHz Windows 10 ,149.99
,188.10
Clearance HP Desktop Computer 16GB RAM 2TB HDD 250GB SSD WiFi Windows 10 Pro PC,99.00
"Dell LCD Desktop Computer PC 8GB RAM 250GB Dual 20"" Monitor Windows 10 Home WiFi",154.67
"Dell Optiplex 5040 SFF PC/Computer, Intel Core i5, 16GB RAM, 128SSD, Win 10 Pro",149.99
,499.00
,125.10
,143.10
"Dell Desktop Computer Core i5 8GB RAM 1TB HD Windows 10 PC 19"" LCD Monitor WIFI",189.95
HP Desktop Computer Tiny Mini Core i3 8GB Ram 128GB SSD Windows 10 Pro PC WiFi,168.00
Dell Inspiron 3252 Desktop Computer 4GB 500GB DVDRW WiFi BT Windows 10 PC,99.99
HP Computer Desktop Windows 11 8GB 1TB Bluetooth DVD+RW WiFi HDMI (FULLY LOADED),349.00
Dell Optiplex 7010 Business Desktop Computer 16GB RAM 2TB HDD USB 3.0 Win 10 Pro,219.99
Raspberry Pi 4 Model B 8GB Quad Core WiFi Bluetooth,189.00
"Dell OptiPlex Desktop Computer 4GB 500GB Core 2 Duo Windows 10 PC 17"" LCD WIFI",130.95
"HP All In One 23"" Computer Core I5 8GB RAM 256GB 1TB 2TB SSD or HDD Windows 10",270.00
,144.99
Dell Business Desktop Computer 3.1GHz Windows 10 Pro 22in LCD 8GB 1TB HDD Wi-Fi,139.95
"HP All In One 23"" Widescreen PC 8GB 2TB Core I5 Desktop Computer Webcam Win 10",286.00
Dell i5 Desktop Computer PC Intel Core 8GB RAM 128GB SSD Windows 10 Pro Wi-Fi,178.48
Lenovo Desktop All In One Computer PC Intel i3-6100 8GB Ram 256GB SSD Win 10 Pro,299.99
,188.10
Periphio Portal Gaming PC Desktop Computer Custom Tower Intel i5 16GB RAM Nvidia,524.99
"DELL Desktop Computer 16GB 2TB 480GB SSD Quad Core i5 Windows 11 Pro PC 22"" LCD",154.95
"DELL OPTIPLEX COMPUTER SFF I5 6TH GEN 16GB 2TB 2 X 22"" WIDE LCD WIN 10 PRO WIFI",139.00
,149.00
"HP OR DELL Desktop PC 8GB 500GB HDD 19"" LCD Monitor WiFi Windows 10 Warranty",139.99
Discount Dell Optiplex PC Desktop Computer Intel I5 up to 16GB RAM 500GB SSD Win,99.99
DELL Optiplex Desktop Computer i7-8700 Up to 32GB DDR4 1TB NVMe M.2 SSD Win10Pro,210.56
"HP Desktop 16GB RAM Windows 10 Home PC Intel i3 Computer 256GB SSD 22"" LCD Wi-Fi",213.95
Custom Dell Desktop Computer up to 16GB 2TB HDD | 512 SSD CORE I3 Win10 Pro LCD,115.00
Mini PC Intel Celeron N4000 4GB 32GB SSD WiFi Windows 10 PRO Desktop Computer,149.99
FAST Dell OptiPlex Windows 10 Desktop Computer Tower C2D 4GB DVD WIFI 17in LCD,132.88
Dell 9020 i5 Gaming Computer PC 16GB 1TB 256GB M.2SSD AMD RX 550 4GB WiFi Win 10,219.99
"HP Computer with 24"" Monitor WIN11 8GB 1TB Bluetooth WiFi DVD+RW (FULLY LOADED)",479.00
"Dell Desktop i7 Computer Windows 10 Pro PC 16GB RAM 256GB SSD 19"" LCD Wi-Fi",144.99
Dell Gaming PC Xeon Computer Nvidia GT 1030 16GB 500GB 128GB SSD Windows 10 Pro,364.99
HP Desktop 16GB RAM 128GB SSD Windows 10 Computer PC Intel Core 6th Gen Wi-Fi,144.67
Desktop Computer,175.00
HP - Dell Desktop PC Computer Dual Core 8GB RAM DUAL 19 LCDs 1TB WiFi Windows 10,224.99
,595.00
HP ELITE Desktop Computer Dual Core 8GB RAM 500GB HD PC Windows 10 WiFi,119.99
"HP desktop computer 19"" LCD Windows 7 Dual Core 3.6GHz 250GB Wi-Fi 4GB Desktop",119.99
